                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.1855,                0.70339,                0.97661,                0.54791,                0.39748,                0.43695,                0.26058,                 1.1596,                0.63288,                0.95101,               0.003961,               0.003961,               0.003961
                     63,                 1.1874,                0.70288,                0.97624,                0.54856,                 0.3969,                0.43689,                0.26049,                 1.1593,                 0.6324,                 0.9508,               0.003862,               0.003862,               0.003862
                     64,                 1.1837,                0.70148,                0.97573,                0.55073,                0.39631,                0.43752,                0.26073,                 1.1588,                0.63194,                0.95054,               0.003763,               0.003763,               0.003763
                     65,                 1.1847,                 0.7009,                0.97456,                0.55352,                0.39572,                0.43689,                0.26058,                 1.1587,                0.63172,                0.95032,               0.003664,               0.003664,               0.003664
                     66,                 1.1822,                0.69824,                0.97429,                0.55186,                0.39618,                0.43765,                  0.261,                 1.1583,                0.63134,                0.94997,               0.003565,               0.003565,               0.003565
                     67,                 1.1803,                0.69728,                0.97325,                0.54712,                 0.3983,                0.43765,                0.26126,                 1.1581,                0.63108,                 0.9497,               0.003466,               0.003466,               0.003466
                     68,                 1.1802,                0.69634,                0.97348,                0.54974,                0.39719,                0.43784,                0.26153,                 1.1578,                0.63081,                 0.9494,               0.003367,               0.003367,               0.003367
                     69,                 1.1812,                0.69827,                 0.9739,                0.54857,                0.39849,                0.43839,                0.26177,                 1.1574,                0.63051,                0.94925,               0.003268,               0.003268,               0.003268
                     70,                  1.179,                0.69468,                0.97326,                0.55249,                0.39904,                0.43952,                0.26214,                 1.1571,                0.63014,                0.94903,               0.003169,               0.003169,               0.003169
                     71,                 1.1771,                0.69335,                0.97222,                 0.5605,                 0.3954,                 0.4396,                0.26232,                 1.1568,                0.62984,                0.94879,                0.00307,                0.00307,                0.00307
                     72,                 1.1762,                0.69117,                0.97136,                0.55749,                0.39555,                0.44045,                0.26292,                 1.1565,                0.62963,                 0.9485,               0.002971,               0.002971,               0.002971
                     73,                 1.1773,                0.69062,                0.97177,                0.55467,                 0.3974,                0.44012,                0.26274,                 1.1561,                0.62918,                0.94823,               0.002872,               0.002872,               0.002872
                     74,                 1.1737,                0.68919,                0.97033,                0.55578,                0.39692,                0.44039,                0.26319,                  1.156,                  0.629,                 0.9481,               0.002773,               0.002773,               0.002773
                     75,                  1.174,                0.68805,                0.97047,                0.55406,                0.39739,                0.44076,                0.26349,                 1.1559,                0.62868,                0.94793,               0.002674,               0.002674,               0.002674
                     76,                 1.1718,                0.68587,                0.96922,                0.55075,                0.39865,                0.44083,                 0.2635,                 1.1555,                0.62832,                0.94763,               0.002575,               0.002575,               0.002575
                     77,                 1.1704,                0.68446,                 0.9687,                0.55406,                0.39757,                0.44129,                0.26378,                 1.1553,                  0.628,                0.94727,               0.002476,               0.002476,               0.002476
                     78,                 1.1696,                0.68354,                0.96891,                0.55724,                0.39822,                0.44169,                0.26402,                 1.1549,                0.62778,                0.94705,               0.002377,               0.002377,               0.002377
                     79,                 1.1669,                0.68105,                0.96851,                0.55819,                0.39717,                0.44241,                0.26429,                 1.1547,                0.62748,                0.94686,               0.002278,               0.002278,               0.002278
                     80,                  1.166,                0.67965,                0.96747,                0.55736,                0.39738,                0.44269,                0.26495,                 1.1545,                0.62709,                0.94665,               0.002179,               0.002179,               0.002179
                     81,                 1.1638,                0.67768,                0.96773,                0.56492,                0.39518,                0.44298,                0.26515,                 1.1541,                0.62674,                0.94639,                0.00208,                0.00208,                0.00208
                     82,                 1.1646,                0.67824,                0.96726,                0.57108,                0.39336,                0.44371,                0.26547,                  1.154,                0.62656,                0.94615,               0.001981,               0.001981,               0.001981
                     83,                 1.1626,                0.67652,                0.96662,                0.56917,                0.39545,                0.44445,                0.26585,                 1.1537,                0.62612,                0.94596,               0.001882,               0.001882,               0.001882
                     84,                 1.1606,                0.67359,                0.96602,                0.56513,                0.39749,                0.44516,                0.26638,                 1.1535,                0.62578,                0.94586,               0.001783,               0.001783,               0.001783
                     85,                 1.1602,                0.67309,                0.96583,                0.56855,                0.39721,                0.44584,                0.26694,                 1.1531,                0.62533,                0.94564,               0.001684,               0.001684,               0.001684
                     86,                 1.1577,                 0.6694,                0.96411,                0.57135,                0.39788,                0.44653,                0.26693,                 1.1531,                0.62503,                0.94546,               0.001585,               0.001585,               0.001585
                     87,                  1.156,                0.66769,                0.96344,                0.56963,                0.39881,                0.44678,                0.26733,                  1.153,                0.62483,                0.94524,               0.001486,               0.001486,               0.001486
                     88,                 1.1553,                0.66685,                0.96377,                0.56607,                0.40154,                0.44742,                0.26731,                 1.1527,                0.62454,                0.94501,               0.001387,               0.001387,               0.001387
                     89,                 1.1529,                0.66557,                0.96238,                0.56558,                0.40223,                0.44777,                0.26757,                 1.1525,                0.62422,                0.94485,               0.001288,               0.001288,               0.001288
                     90,                 1.1899,                0.66314,                 0.9672,                0.56547,                0.40491,                0.44896,                 0.2679,                 1.1523,                0.62413,                0.94477,               0.001189,               0.001189,               0.001189
                     91,                 1.1858,                0.65883,                0.96619,                0.56334,                0.40534,                0.44855,                0.26794,                 1.1522,                0.62406,                0.94478,                0.00109,                0.00109,                0.00109
                     92,                 1.1828,                0.65555,                0.96464,                0.56145,                0.40743,                0.44899,                0.26817,                  1.152,                0.62396,                0.94487,               0.000991,               0.000991,               0.000991
                     93,                 1.1807,                0.65333,                0.96394,                0.56015,                0.40727,                 0.4489,                0.26847,                 1.1519,                0.62386,                 0.9449,               0.000892,               0.000892,               0.000892
                     94,                 1.1786,                0.65102,                0.96276,                0.56131,                0.40729,                0.44973,                0.26886,                 1.1516,                0.62376,                0.94467,               0.000793,               0.000793,               0.000793
                     95,                  1.177,                0.64819,                0.96165,                0.56546,                0.40638,                0.44966,                 0.2689,                 1.1515,                0.62368,                0.94458,               0.000694,               0.000694,               0.000694
                     96,                 1.1734,                0.64473,                0.96029,                0.56345,                0.40608,                0.44921,                0.26887,                 1.1513,                0.62354,                0.94443,               0.000595,               0.000595,               0.000595
                     97,                 1.1709,                0.64223,                0.95882,                0.56631,                0.40466,                0.44997,                0.26901,                 1.1512,                0.62343,                0.94416,               0.000496,               0.000496,               0.000496
                     98,                 1.1687,                0.63876,                0.95898,                0.56477,                0.40606,                0.44987,                 0.2688,                 1.1512,                0.62332,                0.94408,               0.000397,               0.000397,               0.000397
                     99,                 1.1668,                0.63624,                0.95763,                0.56754,                0.40512,                0.44996,                0.26871,                 1.1513,                0.62324,                0.94405,               0.000298,               0.000298,               0.000298
